original_954532.jpg
(280, 66)
(280, 66)
(377, 102)
(377, 102)
(377, 102)
(67, 941)
(67, 941)
(67, 941)
(67, 941)
(2, 913)
(2, 913)
(2, 913)
(2, 913)
(2, 913)
(382, 100)
(382, 100)
(382, 100)
(382, 100)
(430, 118)
(430, 118)
(430, 118)
(430, 118)
(119, 945)
(119, 945)
(119, 945)
(72, 929)
(72, 929)
(441, 109)
(441, 109)
(441, 109)
(555, 148)
(555, 148)
(555, 148)
(235, 944)
(235, 944)
(235, 944)
(235, 944)
(129, 918)
(129, 918)
(129, 918)
(129, 918)
(592, 111)
(592, 111)
(592, 111)
(592, 111)
(647, 129)
(647, 129)
(647, 129)
(297, 933)
(297, 933)
(297, 933)
(297, 933)
(250, 921)
(250, 921)
(250, 921)
(250, 921)
(250, 921)
(645, 146)
(645, 146)
(645, 146)
(645, 146)
(645, 146)
(719, 174)
(719, 174)
(719, 174)
(719, 174)
(382, 920)
(382, 920)
(382, 920)
(382, 920)
(317, 893)
(317, 893)
(317, 893)
(317, 893)
Finished
original_954528.jpg
(155, 143)
(155, 143)
(155, 143)
(155, 143)
(155, 143)
(155, 143)
(238, 162)
(238, 162)
(238, 162)
(238, 162)
(238, 162)
(238, 162)
(69, 937)
(69, 937)
(69, 937)
(69, 937)
(69, 937)
(69, 937)
(2, 923)
(2, 923)
(2, 923)
(2, 923)
(2, 923)
(233, 229)
(233, 229)
(233, 229)
(233, 229)
(233, 229)
(233, 229)
(302, 249)
(302, 249)
(302, 249)
(302, 249)
(302, 249)
(302, 249)
(138, 946)
(138, 946)
(138, 946)
(138, 946)
(138, 946)
(138, 946)
(70, 932)
(70, 932)
(70, 932)
(70, 932)
(70, 932)
(320, 186)
(320, 186)
(320, 186)
(320, 186)
(422, 205)
(422, 205)
(422, 205)
(422, 205)
(422, 205)
(244, 946)
(244, 946)
(244, 946)
(244, 946)
(244, 946)
(143, 927)
(143, 927)
(143, 927)
(143, 927)
(143, 927)
(143, 927)
(436, 206)
(436, 206)
(436, 206)
(436, 206)
(436, 206)
(471, 214)
(471, 214)
(471, 214)
(471, 214)
(471, 214)
(471, 214)
(284, 937)
(284, 937)
(284, 937)
(284, 937)
(284, 937)
(284, 937)
(284, 937)
(284, 937)
(252, 935)
(252, 935)
(252, 935)
(252, 935)
(489, 148)
(489, 148)
(489, 148)
(489, 148)
(489, 148)
(489, 148)
(557, 163)
(557, 163)
(557, 163)
(557, 163)
(557, 163)
(348, 941)
(348, 941)
(348, 941)
(348, 941)
(348, 941)
(348, 941)
(289, 923)
(289, 923)
(289, 923)
(289, 923)
(289, 923)
(289, 923)
(558, 169)
(558, 169)
(558, 169)
(558, 169)
(558, 169)
(558, 169)
(633, 186)
(633, 186)
(633, 186)
(633, 186)
(633, 186)
